period,total_return,annual_return,sharp_ratio,max_drawdown,daily_turnover
2012-03-31,0.005711225033333335,0.024814288075862088,0.47191997536086877,0.023051615833333334,0.3500040083373417
2012-06-30,0.004941879866666669,0.021107690277966096,0.39563530287611437,0.017131180466666666,0.38401683062700015
2012-09-30,0.059072330900000004,0.22901888287384614,2.450087206497683,0.031891496533333334,0.3266699966699965
2012-12-31,0.04724283313333334,0.1951671139278689,3.648431980437482,0.013838653633333326,0.31924114137228893
2013-03-31,-0.004369475566666668,-0.019662640050000003,-0.3692255857088271,0.01796121226666667,0.3532464559250274
2013-06-30,0.039945054333333334,0.1765991875789474,2.0888887611883247,0.027988999866666666,0.3435427145953461
2013-09-30,0.02286944143333332,0.09004842564374999,1.389641249604535,0.01243191126666667,0.35401447510822504
2013-12-31,0.005389171383333328,0.022263462108196734,0.5682863684744536,0.019257743600000002,0.3509502822690211
2014-03-31,0.012988728775000007,0.05643378709137931,0.8171891255724495,0.026504035775000004,0.3464645158170299
2014-06-30,0.014127848849999998,0.058364228036065564,1.0658113673749994,0.01806605135,0.3347139143261561
2014-09-30,0.003496460415000002,0.013555508070461523,0.3350699382951807,0.01721827998,0.35951851347903857
2014-12-31,-0.02062940822,-0.08522312904000003,-1.378081419532844,0.022476595780000008,0.3636113273586058
2015-03-31,0.038165373825000015,0.1687311263842106,2.6738759252966657,0.02128393547499999,0.33881330001991566
2015-06-30,0.0063337800749999895,0.02574375127258063,0.3594940123483785,0.029003083895000004,0.3615458722603443
2015-09-30,0.023071672125,0.09084470899218747,1.1632017903734344,0.028922716400000006,0.34628429222566204
2015-12-31,0.021192658635000017,0.08754999960688525,1.3527140618024356,0.023859738919999998,0.3453805112880921
2016-03-31,0.008702410479999999,0.037169617643389816,0.6335408622056571,0.021562795716666666,0.35435031693704183
2016-06-30,0.041196887716666665,0.17019042138688523,1.660852366477342,0.02506253398333333,0.3380742777293273
2016-09-30,-0.04074991638666666,-0.16045279577250007,-2.175821858303884,0.058357368686666675,0.3703064715880046
2016-12-31,0.00887093658333334,0.037257933650000026,0.3122821830156075,0.057024388149999994,0.3493876871088265
2017-03-31,-0.03944764111666667,-0.16848822985423723,-1.62104069996652,0.05907274218333333,0.37062138602364253
2017-06-30,-0.012037453950000006,-0.050557306590000024,-0.6744687952239188,0.035597234466666676,0.35895470341197494
2017-09-30,0.017895614616666666,0.06937992128307693,0.9393685242144126,0.028297674466666662,0.34338266867317724
2017-12-31,0.0085869328,0.036065117759999994,0.47292865293920805,0.0302717373,0.35810298811448243
2018-03-31,-0.011813968485714282,-0.05045966200677963,-0.9755004660433451,0.018852215433333333,0.35800867171750006
2018-06-30,-0.01941992477142857,-0.08156368404,-1.4020909027255322,0.038419850257142854,0.3598786509244206
2018-09-30,0.015292033871428561,0.06021238336875002,0.938110341856661,0.026287833342857145,0.3562818191473064
2018-12-31,0.0027112125446428492,0.01138709268749998,0.16702486742298756,0.029728912437499998,0.3510617093591428
2019-03-31,-0.03693467065595238,-0.1604747759534483,-3.390758677195419,0.04175672918809524,0.3785797611648394
2019-06-30,0.04393829522619048,0.18454083995000004,2.9883803162820186,0.01378820044285714,0.3418534554915382
2019-09-30,0.004439638562500009,0.017212137196153856,0.21823308349631088,0.019337703571428572,0.35743424388564116
2019-12-31,0.020391423669642857,0.08423997975,1.5441695773943216,0.027856385573214286,0.3365846204992563
2020-03-31,0.07026897934821429,0.30530659992672415,2.58242319108567,0.03543626384107143,0.3473344054208029
2020-06-30,-0.03796942865,-0.1621745088101695,-1.758587226239996,0.04042060590714285,0.3607166660565674
2020-09-30,0.01371974387638888,0.052384476618939385,0.8859556848664564,0.03252461156666667,0.3495572972168225
2020-12-31,0.010969381522222222,0.046071402393333315,0.7076828303415424,0.020367726988888887,0.3453023001785205
2021-03-31,-0.004634543345555551,-0.020136291777241338,-0.23267955646128632,0.02676795444,0.3536781740306606
2021-06-30,-0.07476472718333332,-0.3140118541700001,-4.878888069235183,0.07461980367888892,0.3803184262081999
2021-09-30,0.1031943706888889,0.4063278345875,4.185646568949361,0.017170131652222226,0.3406591089336505
2021-12-31,0.03291485862999999,0.13597613729114755,0.9470140260508118,0.05149386691999999,0.3414165706698545
total,0.4048700205881349,0.041969249357552474,0.5560478877607765,0.13326442673845196,0.35191907143935214
